R59, 5.63, 64.14, 90.00, 4k7, R0603
R6, 82.30, 53.59, 270.00, 510, R0603
R60, 5.63, 67.31, 90.00, 120, R0603
R61, 57.28, 20.70, 270.00, 470, M1206
R67, 39.12, 59.69, 0.00, 470, R0603
R7, 81.15, 57.02, 90.00, no, R0603
R70, 35.81, 71.63, 90.00, 10k, R0603
R71, 37.97, 71.63, 90.00, 10k, R0603
R72, 91.82, 83.06, 270.00, 10k, R0603
R73, 68.83, 68.33, 0.00, 10k, R0603
R74, 62.83, 39.78, 90.00, 220, R0603
R75, 65.50, 39.97, 0.00, 10k, R0603
R76, 65.50, 42.13, 0.00, 220, R0603
R77, 65.50, 37.69, 180.00, 100, R0603
R78, 65.12, 35.53, 180.00, 10k, R0603
R8, 92.58, 31.37, 90.00, no, R0603
R80, 70.90, 19.84, 180.00, 10k, R0603
R9, 92.08, 28.70, 0.00, 220, R0603
RN1, 37.08, 66.29, 180.00, CTS742C083, CTS742C083
RN2, 97.28, 56.64, 90.00, CTS742C083, CTS742C083
T1, 95.63, 6.73, 90.00, bc848 sot23, SOT23-BEC
T10, 46.36, 68.83, 180.00, bc848 sot23, SOT23-BEC
T2, 95.76, 19.30, 90.00, bc848 sot23, SOT23-BEC
T3, 95.89, 31.62, 90.00, bc848 sot23, SOT23-BEC
T4, 95.25, 43.82, 90.00, bc848 sot23, SOT23-BEC
T5, 14.61, 72.52, 90.00, bc848 sot23, SOT23-BEC
T6, 59.61, 89.54, 180.00, FDN340P, SOT-23
T7, 84.33, 57.02, 90.00, bc848 sot23, SOT23-BEC
T8, 111.25, 76.71, 270.00, bc848 sot23, SOT23-BEC
T9, 49.78, 68.83, 180.00, bc848 sot23, SOT23-BEC
U2, 48.13, 77.98, 180.00, CH340G, SOIC16
